Address,Latitude,Longitude,
"1601 Delaware St, Berkeley, CA 94703",37.873532,-122.279913,
"1605 Delaware St, Berkeley, CA 94703",37.873579,-122.279795,
"1609 Delaware St, Berkeley, CA 94703",37.873554,-122.279639,1
"1611 Delaware St, Berkeley, CA 94703",37.873626,-122.279494,
"1614 Virginia St. Berkeley, CA 94703",37.875075,-122.27956,
"1613 Delaware St, Berkeley, CA 94703",37.873634,-122.279371,
"1615 Virginia St. Berkeley, CA 94703",37.873647,-122.279221,
"1617 Virginia St. Berkeley, CA 94703",37.873655,-122.279113,
"1619 Virginia St. Berkeley, CA 94703",37.873685,-122.278985,
"1621 Virginia St. Berkeley, CA 94703",37.873702,-122.278872,1
"1616 Virginia St. Berkeley, CA 94703",37.875075,-122.279387,
"1623 Virginia St. Berkeley, CA 94703",37.873731,-122.278738,
"1618 Virginia St. Berkeley, CA 94703",37.875084,-122.279253,
"1625 Virginia St. Berkeley, CA 94703",37.873731,-122.278625,
"1622 Virginia St. Berkeley, CA 94703",37.875101,-122.279124,
"1635 Virginia St. Berkeley, CA 94703",37.873744,-122.278507,
"1624 Virginia St. Berkeley, CA 94703",37.875131,-122.278984,
"1637 Virginia St. Berkeley, CA 94703",37.873731,-122.278389,
"1639 Virginia St. Berkeley, CA 94703",37.873774,-122.278271,
"1641 Virginia St. Berkeley, CA 94703",37.873727,-122.278132,
"1626 Virginia St. Berkeley, CA 94703",37.875143,-122.278833,1
"1744 McGee Ave, Berkeley, CA 94703",37.873744,-122.278003,
"1628 Virginia St. Berkeley, CA 94703",37.875169,-122.27872,
"1740 McGee Ave, Berkeley, CA 94703",37.87393,-122.278041,
1632 Virginia St. Berkeley CA 94703,37.875203,-122.278575,
"1738 McGee Ave, Berkeley, CA 94703",37.874015,-122.278046,
"1722 McGee Ave. Berkeley, CA 94703",37.874927,-122.278192,
"1734 McGee Ave, Berkeley, CA 94703",37.874113,-122.278057,
"1614 Francisco St. Berkeley, CA 94703",37.874735,-122.278106,1
"1639 Francisco St. Berkeley, CA 94703",37.874663,-122.278241,
"1637 Francisco St. Berkeley, CA 94703",37.87465,-122.278381,
"1732 McGee Ave, Berkeley, CA 94703",37.87424,-122.278035,
"1730 McGee Ave, Berkeley, CA 94703",37.874324,-122.27811,
"1635 Francisco St. Berkeley, CA 94703",37.874646,-122.278505,
